domain,grain,record_id,source_row_id,source_file,source_sheet,source_row_number,year,data_confidence_score,data_confidence_marker,data_quality_issue_count,data_quality_highest_severity,record_date,worker_id,case_id,sex,age,role,worker_category,region,district,commune,fokontany,zone_type,attached_csb,start_date,current_status,inactive_reason,has_training,training_list,has_materials,materials_list,has_financial_support,financial_support_list,reports_monthly_rma,meeting_participation,has_bicycle,transport_mode,distant_hamlet_distance_km,home_visit_travel_duration_hours,households_served,recommended_by_csb
community,worker,chw_b8d71854d28783d91c72b361,b8d71854d28783d91c72b361,data_PROFESS_2026-06-27.xlsx,Sheet1,2,2026,1.0,high,1,info,2026-01-19,D002-0000001,aadf7b6a-04bb-482e-b2ad-408a00a5a54d,female,45,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Belitsake,Accès normale,CSB1 Mangolovolo,2019-05-19,Actif,,oui,autres,oui,sac_a_dos autre,oui,Formation,1-3,oui,non,a_pied,5,6,222,oui
community,worker,chw_0e8667f4844500651cb4e3d7,0e8667f4844500651cb4e3d7,data_PROFESS_2026-06-27.xlsx,Sheet1,3,2026,1.0,high,1,info,2026-01-19,D002-0000007,ae9aee36-9400-4d0f-b50f-c2ad1dde5346,female,50,rc,AC spécifique,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Isosa,Accès normale,CSB1 Mangolovolo,2002-07-19,Actif,,oui,sante_maternelle sante_de_lenfant autres,oui,t_shirt sac_a_dos autre,non,,1-3,oui,oui,a_pied,2,2,260,oui
community,worker,chw_a2f6a308dafe5861b8f0326a,a2f6a308dafe5861b8f0326a,data_PROFESS_2026-06-27.xlsx,Sheet1,4,2026,1.0,high,1,info,2026-01-19,D002-0000009,498fe76d-ca6e-473a-a8d5-ca04657874e6,female,56,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Belitsake,Accès normale,CSB1 Mangolovolo,2013-01-01,Actif,,oui,sante_maternelle sante_de_lenfant vaccination,oui,t_shirt gai sac_a_dos autre,oui,Formation /Indemnités,1-3,oui,non,a_pied,5,5,400,oui
community,worker,chw_266431fd09dcdd3ef29900e5,266431fd09dcdd3ef29900e5,data_PROFESS_2026-06-27.xlsx,Sheet1,5,2026,1.0,high,1,info,2026-01-19,D002-0000002,d5599663-82c7-44b8-9a2c-09541d1505b8,female,35,ac,AC base,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Belitsake,Accès normale,CSB1 Mangolovolo,2024-06-01,Actif,,non,,oui,t_shirt sac_a_dos,oui,Indemnités,1-3,oui,non,a_pied,6,2,200,oui
community,worker,chw_b8ff2dc2ee25d016202c654f,b8ff2dc2ee25d016202c654f,data_PROFESS_2026-06-27.xlsx,Sheet1,6,2026,1.0,high,1,info,2026-01-19,D002-0000006,7b31999e-128f-4afe-ac63-ba6aedba0242,female,40,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Isosa,Accès normale,CSB1 Mangolovolo,2024-07-25,Actif,,oui,autres,oui,gilet sac_a_dos megaphone autre,oui,Indemnités,1-3,oui,non,a_pied,2,1,500,oui
community,worker,chw_4d884833b9cc0ec96c1ac5d0,4d884833b9cc0ec96c1ac5d0,data_PROFESS_2026-06-27.xlsx,Sheet1,7,2026,1.0,high,1,info,2026-01-19,D002-0000003,de607715-bb2a-459c-9962-80b7970f1f82,female,63,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Belitsake,Eloignés,CSB1 Mangolovolo,2020-01-19,Actif,,oui,autres,oui,gilet,oui,indemnités,1-3,oui,non,a_pied,5,1,250,oui
community,worker,chw_0a0414ea681a9735c3c4c6c5,0a0414ea681a9735c3c4c6c5,data_PROFESS_2026-06-27.xlsx,Sheet1,8,2026,1.0,high,1,info,2026-01-19,D002-0000004,42d8a4aa-75df-4d29-8976-c3b215eba748,female,31,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Belitsake,Accès normale,CSB1 Mangolovolo,2025-07-19,Actif,,oui,sante_maternelle autres,oui,gilet,oui,indemnité,1-3,oui,non,a_pied,6,2,250,oui
community,worker,chw_6d6db16d2e1e31aa67ddb239,6d6db16d2e1e31aa67ddb239,data_PROFESS_2026-06-27.xlsx,Sheet1,9,2026,1.0,high,1,info,2026-01-19,D002-0000005,0080266f-04f7-4c9d-b70f-88af2b261c88,female,46,rc,AC spécifique,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Isosa,Accès normale,CSB1 Mangolovolo,2008-01-19,Actif,,oui,sante_maternelle sante_de_lenfant autres,oui,t_shirt,oui,indemnités,1-3,oui,oui,a_pied,4,1,143,oui
community,worker,chw_f6cbb3a9e028c6622061aac9,f6cbb3a9e028c6622061aac9,data_PROFESS_2026-06-27.xlsx,Sheet1,10,2026,1.0,high,1,info,2026-01-19,D002-0000008,0acac106-3378-416c-94fb-503206c8936b,female,40,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Isosa,Accès normale,CSB1 Mangolovolo,2024-07-19,Actif,,oui,autres,oui,gilet,oui,indemnité,1-3,oui,non,a_pied,5,1,129,oui
community,worker,chw_eb064a578f23d5aa619fd377,eb064a578f23d5aa619fd377,data_PROFESS_2026-06-27.xlsx,Sheet1,11,2026,1.0,high,1,info,2026-01-19,D002-0000010,436079f4-4d0b-4876-bfdb-dbed225c9a85,female,46,ac,AC essentiel,Atsimo-Andrefana,Morombe,Atsimo-Andrefana|Morombe|Morombe,Belitsake,Accès normale,CSB1 Mangolovolo,2004-01-19,Actif,,oui,sante_maternelle autres,oui,gilet,oui,indemnité,1-3,oui,non,a_pied,1,1,200,oui
